,moves,explanation
966,e4 c5 Nf3 d6 c3 Nf6 d3 e6 Bg5 Nbd7 Be2 Be7 Nbd2 a6 a3 b5 b4 Bb7 bxc5 Nxc5 d4 Ncxe4 Nxe4 Bxe4 Nd2 Bxg2 Rg1 Bb7 Bf3 Bxf3 Qxf3 O-O Bh6 g6 Bxf8 Qxf8 Ne4 Nxe4 Qxe4 d5 Qg4 Bxa3 h4 Bb2 Rd1 Bxc3+ Ke2 Qa3 Kf1 Qb3 Kg2 Qc4 h5 Bxd4 Rxd4 Qc2 h6 Qf5 Qxf5 exf5 Rxd5 b4 Ra5 f6 Rga1 Kf7 Rxa6 Rxa6 Rxa6 g5 Rb6 Kg6 Rxb4 Kxh6 f3 Kg6 Rb6 h5 Rb8 f4 Rg8+ Kf5 Rh8 h4 Ra8 Kg6 Rg8+ Kf5 Kh3 Ke5 Re8+ Kf5 Rg8 Ke6 Kg4 Kf7 Ra8 Kg6 Rg8+ Kf7 Rh8 Kg7 Ra8 Kg6 Ra6 h3 Kxh3 Kf5 Ra5+ Kg6 Kg4 Kh6 Kf5 Kh5 Ra6 Kh4 Rxf6 Kh5 Rg6,
967,e4 e5 d4 Nf6 dxe5 Nxe4 f3 Bb4+ Bd2 Qe7 Bc4 Ng5 Ne2 Bxd2+ Nxd2 Qxe5 f4 Qxb2 Rb1 Qxa2 Bxa2,
968,e4 c5 c3 Nc6 d4 d6 d5 Ne5 Nf3 Nf6 Nxe5 dxe5 c4 Bd7 Nc3 g6 Be2 Qa5 Bd2 O-O-O O-O e6 a3 exd5 Nxd5 Qa6 Nxf6 Ba4 Bg4+ Kb8 Qe2 Qxf6 b3 Bxb3 Rab1 Ba4 Qe3 Bd6 Rb2 h5 Bd1 Bc6 Bc2 Rdg8 Rd1 g5 Rdb1 g4 a4 b6 a5 h4 axb6 axb6 Rxb6+ Kc7 Bd1 g3 fxg3 hxg3 hxg3 Qh6 Qxh6 Rxh6 Bxh6,
969,d4 d5 Nc3 e6 Nf3 Nf6 Bg5 c6 e3 Bb4 Bd3 O-O O-O h6 Bxf6 Qxf6 a3 Bxc3 bxc3 Nd7 Rb1 e5 e4 Re8 Re1 exd4 cxd4 Qf4 e5 b5 g3 Qg4 e6 fxe6 Qd2 Qxf3 Re3 Qg4 f3 Qg5 f4 Qf6 c3 c5 Qc2 cxd4 cxd4 Qxd4 Bh7+ Kh8,
970,d4 d5 Nf3 e6 Bf4 Nf6 e3 c5 c3 Nc6 Nbd2 cxd4 cxd4 Bd6 Bg3 Bxg3 hxg3 Qb6 b3 Bd7 Be2 O-O-O a4 Kb8 a5 Nxa5 O-O Bb5 b4 Nc4 Nxc4 Bxc4 Bxc4 dxc4 Qc2 Qxb4 Rfb1 Qd6 Ne5 Qc7 Qa4 a6 Qxa6 Kc8 Qa8+ Qb8 Nxf7 Rhf8 Nxd8 Rxd8 Rxb7 Qxa8 Rxa8+ Kxb7 Rxd8 c3 Rf8 c2 Rf7+ Kc6,
971,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Na5 Bb5+ c6 dxc6 bxc6 Be2 h6 Nf3 e4 Ne5 Bd6 Nc4 Nxc4 Bxc4 h5 h3 Bd7 Qe2 Qe7 Nc3 O-O d3 Rfe8 Bg5 exd3 Bxd3 Bb4 O-O Bxc3 Qxe7 Rxe7 bxc3 Re6 Bf5 Rd6 Bxd7 Nxd7 Rad1 Rxd1 Rxd1 Nb6 Rd8+ Rxd8 Bxd8 f6 Be7 Nd5 Bb4 a6 Ba5 Kf7 c4 Nf4 Kf1 Ne6 c3 Ng5 Ke2 Ke6 Kd3 Nf7 Kd4 Kd6 Bb4+,
972,d3 d5 e4 Nf6 d4 dxe4 Bb5+ Bd7 a4 a6 Bxd7+ Qxd7 Nc3 e6 Nce2 Bb4+ c3 Be7 b3 Nc6 Bf4 Ng4 g3 Na5 Rb1 Qd5 Qc2 e3 f3 Nf2 h4 Nxh1 Nh3 Qxf3 Qd3 O-O c4 Bb4+ Nc3 Nf2 Rc1 Nxd3#,
973,d3 e5 e4 Nf6 g3 Bc5 Bg5 h6 Be3 Bxe3 fxe3 O-O Nh3 d6 d4 Bg4 dxe5 Bxd1 Kxd1 dxe5+ Bd3 Qd7 g4 Qxg4+ Kd2 Qxh3 Re1 Qg2+ Kd1 Qxh2 Nd2 Ng4 Nf3 Qg2 Rf1 Nf2+ Ke2 Nxd3+ Kxd3 Nc6 Nh4 Qg4 Rh1 Nb4+ Kd2 Qxe4 Raf1 Qxc2+ Ke1 Qxb2 Nf3 Qc3+ Nd2 Qxe3+ Kd1 Rad8 a3 Qxd2#,
974,d4 d5 e3 Nc6 Nf3 Bg4 Bd3 e5 dxe5 Nxe5 Be2 Qf6 Nxe5 Bxe2 Qxe2 Qxe5 O-O Bd6 g3 Nf6 Nc3 O-O-O Qb5 Qh5 b4 Ng4 h4 Be7 Qe2 g5 f3 Nf6 Kg2 gxh4 g4 Rhg8 Kh3 Qe5,
975,d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bg5 Be7 e3 c6 Qc2 h6 Bh4 O-O Bd3 g6 Nge2 Kg7 O-O Re8 Nf4 g5 Nh5+ Nxh5 Bxg5 Bxg5,
976,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 Qc7 Bd3 Nc6 Nxc6 bxc6 O-O Nf6 Re1 h5 e5 Ng4 Bf4 Bc5 h3 Nxf2 Be3 Nxd1,
977,e4 d5 e5 e6 d4 Bb4+ c3 Ba5 Nd2 c6 a3 Nh6 b4 Bc7 Nb3 Nf5 Bd3 Ne7 Nc5 b6 Nb3 O-O Nf3 Nd7 O-O Re8 Ng5 g6 Qf3 Nf5 Bxf5 exf5 Qh3 Qxg5 Bxg5,
978,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 Nc3 Bg4 d3 Nf6 Be3 Bb4 h3 Bxc3+ bxc3 Be6 Nxe5 O-O f4 Nd7 Nf3 f5 e5 b6 O-O c5 d4 cxd4 Nxd4 Bc4 Nc6 Qc8 Ne7+,
979,d4 d5 c4 dxc4 e4 e6 Nc3 Bb4 a3 Bxc3+ bxc3 b5 a4 c6 axb5 cxb5 d5 Qf6 Bb2 exd5 exd5 Qe5+ Be2 Nf6 d6 Bb7 Nf3 Bxf3 gxf3 O-O Ba3 Re8 Rb1 Qxc3+,
980,e4 e5 Nf3 Nc6 Bc4 Nf6 O-O Bc5 c3 O-O d4 exd4 cxd4 Bb6 e5 Ne8 Nc3 d6 d5 Na5 Bb3 Nxb3 axb3 c6 dxc6 bxc6 exd6 Qxd6 Qxd6 Nxd6 Ne5 Bb7 Nd7 Rfe8 Bf4 Nb5 Na4 Bc7,
981,f3 e5 Kf2 d5 e3 Nf6 Nc3 d4 exd4 exd4 Nce2 Bc5 d3 Nc6 a3 Be6 b4 Bd6 b5 Ne5 Nxd4 Bc5 Be3 Bxd4 Bxd4 Qxd4+ Ke1,
982,e4 e5 Nf3 d6 Bc4 Nc6 d4 exd4 Ng5 Ne5 Bxf7+ Nxf7 Nxf7 Kxf7 O-O c5 Qf3+ Nf6 Bg5 h6 Bxf6 Qxf6 Qxf6+ gxf6 Nd2 b5 f4 Be7 e5 dxe5 fxe5 Ke6 exf6 Bxf6 Rae1+ Kf7 Ne4 Rf8 Nxf6 Kg6 Nd5 Rxf1+ Rxf1 Bb7 Nc7 Rd8 Nxb5 a6 Na3 d3 cxd3 Rxd3 Nc4 Bd5 Ne5+ Kg5 Nxd3 Bxa2 Nxc5 Bc4 Rc1 Bb5 b4 Kf5 Re1 h5 g3 Bc4 h3 Bb5 g4+ hxg4 hxg4+ Kxg4 Re3 Kf4 Kf2 Kf5 Re7 Bc4,
983,e4 e5 Nf3 d6 Bc4 h6 O-O Be7 Nc3 Nf6 d3 Nc6 Nd5 Na5 Nxf6+ Bxf6 Bb5+ c6 Ba4 b5 Bb3 Nxb3 axb3 a6 b4 O-O c4 Bb7 Re1 Re8 Be3 Qd7 c5 d5 Bd2 d4 b3 Qg4 h3 Qe6 Ra3 Qd7 Nh2 Bh4 Qg4 Qxg4 Nxg4 Bc8 Rea1 h5 Nh2 Re6 Rxa6 Bxa6,
984,e4 e5 Nc3 Nf6 Nf3 Nc6 d4 exd4 e5 dxc3 exf6 Qxf6 bxc3 Qxc3+ Bd2 Qf6 Be2 h6 O-O Bb4 Bxb4 Nxb4 Re1 O-O Rb1 Nxa2 Bc4 Nc3 Qd4 Qxd4 Nxd4 Nxb1 Rxb1 c6 Rb3 d5 Bd3 Re8 Ne2 b5 Ng3 Re1+ Bf1 a5 h3 a4 Rb4 Ra7 Kh2 Rae7 Bd3 Ra1 Nf5 Ree1 Nd6 Bd7 Rf4 Rh1+ Kg3 a3 Rxf7 Be6 Re7 a2 Re8#,
985,Nf3 d5 e3 Bg4 Be2 e6 d4 Bd6 O-O Nf6 Nc3 O-O h3 Bxf3 Bxf3 a6 Re1 b5 a3 Re8 e4 dxe4 Nxe4 Nxe4 Bxe4 c6 b4 Nd7 Bxc6 Rc8 Be4 Nb6 Bb7 Rc7 Bxa6 Qd7 Qd3 Nc4 a4 Bxb4 Re4 Ra8 Bxb5 Qd5 Bxc4 Rxc4 Re5 Qxd4 Qxd4 Rxd4 Be3 Bc3 Bxd4 Bxd4 Rb5,
986,e4 e5 Bc4 Nf6 Nf3 d6 O-O Bg4 h3 Bh5 g4 Bg6 d3 h6 Nbd2 Nc6 Nh4 Bh7 Nf5 Bxf5 exf5 d5 Bb5 a6 Bxc6+ bxc6 Nf3 Qd6 Nxe5 h5 g5 Nd7 Bf4 Nxe5 Re1 f6 d4 Qb4 dxe5 Qxf4 exf6+ Kf7 fxg7 Bxg7 f6 Qxg5+ Kh2 Bxf6 Rg1 Qe5+ Kh1 Rhg8 Qf3 Rxg1+ Rxg1 Rg8 Rxg8 Kxg8 Qg2+ Kf7 f4 Qe1+ Kh2 h4 c3 Qb1 b3,
987,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 h3 O-O d3 d6 Be3 Re8 Bxc5 dxc5 O-O Be6 Bb5 Bd7 Bxc6 Bxc6 Nd2 Qd7 f4 exf4 Rxf4 Rad8 Nf3 Nh5 Rh4 g6 Qf1 Qe6 Ng5 Qf6 Qxf6 Nxf6 Rf1 Kg7 Ne2 b5 Nf4 h6 Nf3 g5 Nh5+ Nxh5 Rxh5 Kg6 Ne5+ Kxh5 Nxc6 Rd6 Nxa7 b4 Rxf7 c6 Rc7 Ra8 Nxc6 Rxa2 Ne5 Rxb2 g4+ Kh4 Ng6+ Kg3 Rxc5 Rxg6 e5 Re6 d4 Kf4 d5 Rxe5 Rb5 Rxc2,
988,d4 d5 c4 Nf6 c5 c6 e3 e6 Nf3 Nbd7 Be2 b6 cxb6 axb6 Nc3 Bb4 O-O O-O a3 Bd6 b3 Re8 b4 e5 dxe5 Nxe5 Bb2 Be6 Nb1 Nxf3+ Bxf3 Qc7 g3 c5 bxc5 bxc5 Nd2 Qa5 Nb3 Qa4 Nd2 Qxd1 Rfxd1 Reb8 Bxf6 gxf6 Nc4 dxc4 Bxa8 Rxa8 Rxd6,
989,e4 e5 Nf3 Nc6 Bb5 Nge7 O-O a6 Ba4 b5 Bb3 h6 c3 g6 d4 Bg7 d5 Na5 Bc2 d6 Nbd2 O-O b4 Nb7 Re1 Bg4 h3 Bd7 Nf1 f5 Ng3 f4 Ne2 c6 dxc6 Bxc6 Bb2 d5 Qb1 dxe4 Bxe4 Bxe4 Qxe4 Nd6 Qc2 e4 Nfd4 Qb6 a4 f3 Ng3 fxg2 Nxe4 Nxe4 Rxe4 Nf5 Ne6 Rfe8 Qb3 Kh7 Nxg7 Rxe4 Nxf5 Rc4 Ne3 Rf4 axb5 Raf8 Rxa6 Qxb5 Ra7+ Kh8 c4+ Kg8 cxb5+,
990,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bd3 Bg7 O-O O-O Bg5 Nc6 Nxc6 bxc6 b4 a5 Rb1 axb4 Rxb4 Qa5 Qb1 Be6 Qb2 c5 Ra4 Qxa4 Nxa4 Nxe4 Qxg7+ Kxg7 Bxe4 Rxa4,
991,d4 d5 c4 dxc4 e4 Nc6 Nf3 Nf6 Nc3 e6 e5 Nd5 Nxd5 Qxd5 Be3 b5 a4 Rb8 axb5 Rxb5 Qa4 Rb4 Qc2 a5 Qc3 Ba6 Be2 Rb3 Qc2 Nb4 Qc1 Rxe3 fxe3 Nd3+ Bxd3 Bb4+ Kf2 cxd3 Rd1 c5 dxc5 O-O c6 Rc8 Nd4 Qxe5 h3 Qf6+ Kg1 e5 Nb3 Rxc6 Qb1 Rc2 e4 Qf2+ Kh2 Qxg2#,
992,e4 e5 Nf3 d6 Bc4 Nf6 Nc3 c6 Ng5 Qe7 Nxf7 Kd7,
993,e4 e5 Bc4 Nf6 Nf3 d6 Ng5 Qd7 Bxf7+ Ke7 Be6 Qd8 Nf7 Qe8 Bxc8 Qxc8 Nxh8 Nxe4 Qh5 g6 Qxh7+,
994,d4 c6 c4 e6 e3 Nf6 Nc3 Be7 Nf3 d5 Be2 h6 O-O O-O b3 a6 a4 Nbd7 Ba3 Bxa3 Rxa3 c5 cxd5 exd5 dxc5 Nxc5 b4 Ne6 Qd2 Qe7 Nxd5 Nxd5 Qxd5 Qxb4 Qb3 Qe7 Rd1 Bd7 Nd4 Nxd4 Rxd4 Bc6 g3 Rfd8 Rf4 Rd7 Bf3 Bxf3 Rxf3 Rad8 Ra1 Qe4 Rf4 Qe5 Qc4 Qxa1+,
995,d4 e6 c4 d5 e3 dxc4 Bxc4 a6 Nf3 b5 Bd3 Bb7 O-O Qf6 Nbd2 Nd7 b3 e5 dxe5 Nxe5 Nxe5 Qxe5 Nf3 Qxa1,
996,d4 d5 e3 Nf6 Nf3 e6 Bb5+ Bd7 Be2 Bd6 O-O O-O a3 c5 dxc5 Bxc5 Nc3 Nc6 Bd2 a6 Rb1 Re8 b4 Ba7 b5 Na5 bxa6 bxa6 Bxa6 e5 Nxe5 Rxe5,
997,d4 e6 c4 d5 Nc3 Nf6 e3 c6 Nf3 Nbd7 Bd3 dxc4 Bxc4 b5 Bd3 a6 O-O Bb7 a3 c5 b4 cxb4 axb4 Bxb4 Qb3 Bxc3 Qxc3 Bxf3 gxf3 Nd5 Qc6 Nb4 Qc3 Nxd3 Qxd3 O-O Bd2 Ne5 Qe2 Nc4 Bb4 Re8 Kh1 a5 Bc5 Qf6 Rfb1 Rab8 e4 Rec8 Qd3 e5 dxe5 Nxe5 Qd4 Qxf3+ Kg1 Qg4+ Kf1 Qh3+ Ke2 Rxc5 Qxc5 Qd3+ Ke1 Nf3#,
998,e4 d5 exd5 Qxd5 Nc3 Qe6+ Nge2 Nf6 g3 Qc6 Rg1 Qb6 d4 Nc6 d5 Nb4 a3 Nbxd5 Nxd5 Nxd5 Qxd5 Be6 Qe4 f5 Qe5 O-O-O b3 Rd5 Qe3 Qd6 Bb2 Rg8 Nd4 g6 Nxe6 Bg7 Nxg7 Rd8 Ne6 Rd1+ Ke2 Rd2+ Qxd2 Qxd2+ Kf3,
999,e4 e5 Nf3 Nc6 Bb5 Nge7 O-O a6 Ba4 b5 Bb3 Bb7 d3 g6 Bg5 Bg7 Nc3 Na5 Bd5 c6 Bb3 O-O a4 Nxb3 cxb3 h6 Be3 b4 Ne2 a5 Rc1 d5 Ng3 dxe4 dxe4 Qc7 Bc5 Rfd8 Qc2 Ba6 Rfe1 Bd3 Qd2 Bf6 Qxh6 Bg7 Qh4 f5 Qxe7 Qxe7,
1000,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 Nf6 Nc3 b6 e5 Bc5 Qh4 Qe7 Qe4 Nxe4,
1001,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 Ng5 O-O Bxf7+ Rxf7 Nxf7 Kxf7 Re1 d5 exd5 Nxd5 c3 Bf5 b4 Bd6 a3 a6 d4 exd4 cxd4 Qh4 g3 Qxd4 Qf3 Kf6 Ra2 Ne5 Qh5 Bg6 Bg5+ Kf7 Qh3 Nf3+ Kf1 Bd3+ Ree2 Bxe2+ Rxe2 Qd1+ Kg2 Qxe2 Qf5+ Nf6 Qxf3 Qxf3+ Kxf3 h6 Bxf6 Kxf6 Nd2 Re8 Ne4+ Ke5 Nc5 Bxc5 bxc5 Kd4 c6 bxc6 h4 c5 Kg4 Re5 f4 Rd5 Kf3 c4 g4 c3 g5 h5 f5 Rxf5+ Kg3 Kd3 Kg2 c2 Kg3 c1=Q Kg2 Qd2+ Kh3 Rf3#,
1002,e4 e5 Nc3 Nf6 d3 g6 Nf3 d6 Be2 Bg7 Be3 O-O h4 Bg4 Bg5 h6 Be3 Kh7 Qd2 Nc6 Nh2 Bxe2 Nxe2 d5 f3 dxe4 fxe4 Nd4 Nxd4 exd4 Bf2 c5 Nf3 Ng4 Bg3 Ne3 Bf4 Qb6 g3 Qxb2 Rc1 Qxa2 Bxe3 dxe3 Qxe3 Qb2 O-O Bd4 Nxd4 cxd4 Qf4 Rac8 Rf2 Kg7 Qe5+ f6 Qf4 f5 Qe5+ Kf7 Rcf1 Rxc2 exf5 Rxf2 Qe6+ Kg7 Qxg6+ Kh8 Rxf2 Qc1+ Kg2 Qe3 f6 a5 Qg7#,
1003,e4 e5 Nf3 d6 Nc3 Bg4 d3 h6 Be3 c6 Be2 f5 exf5 Bxf5 O-O Nf6 h3 Be7 Re1 Nbd7 Nh4 Bh7 f4 Nd5 Nxd5 Bxh4 Bf2 Bxf2+ Kxf2 cxd5 Bh5+ Kf8 Qg4 Nf6,
1004,e4 e5 Nf3 Nc6 Nc3 Nf6 d3 Bb4 Bg5 O-O Bxf6 Qxf6 Be2 Bxc3+ bxc3 d6 d4 Rd8 dxe5 dxe5 Qc1 Bg4 h3 Bh5 O-O h6 Bb5 Rd6 Qb2 b6 Rfd1 Rxd1+ Rxd1 Rd8 Qb1 Rxd1+ Qxd1 Nb8 Qc1 Bxf3 gxf3 Qxf3 Qf1 Qxe4 Qc4 Qxc4 Bxc4 Nc6 Bd5 Ne7 Bc6 Nxc6 c4 Kh7 c3 Kg6 a3 Kf5 c5 Ke4 c4 Kd4 f3 Kxc4 a4 Kxc5 a5 Nxa5 f4 f6,
1005,e4 c5 d4 cxd4 c3 d3 Bxd3 Nc6 Nf3 e6 c4 Nf6 O-O Be7 e5 Ng4 Re1 d6 h3 Ngxe5 Nxe5 Nxe5 Bf1 O-O,
1006,e4 d6 d4 Nf6 Nc3 a6 Bc4 b5 Bb3 e6 d5 c5 a3 c4 Ba2 exd5 exd5 Ng4,
1007,e4 c5 d4 cxd4 c3 dxc3 Nxc3 d6 Nf3 Nf6 Bb5+ Bd7 Bxd7+ Nbxd7 O-O a6 Be3 g6 Nd5 Nxd5 Qxd5 b5 Rac1 Nf6 Qc6+ Nd7 Ng5 Bg7 b3 O-O f4 Nc5 Bxc5 dxc5 Qxc5 Bd4+,
1008,Nf3 d5 b3 Bg4 Bb2 Nf6 e3 e6 h3 Bh5 g4 Bg6 Ne5 Nbd7 Nxg6 hxg6 d4 Bb4+ c3 Bd6 Nd2 Qe7 Qc2 O-O-O O-O-O a6 Bg2 Kb8 f3 c5 e4 dxe4 Nxe4 Nxe4 fxe4 cxd4 Rxd4 Bf4+ Kb1 e5 Rd3 Nc5 Rxd8+ Rxd8 Rd1 Rxd1+ Qxd1 f5 exf5 gxf5 gxf5 Qf6 c4 Qxf5+ Qc2 Qxc2+ Kxc2 Bg3 Kd2 g5 Ke2 Bf4 Bc3 Kc7 b4 Na4 Ba1 b5 c5 Bc1 Bxe5+ Kd7 Bf6 Ke6 Bd8 Kf5 Kf3 Bd2 Ba5 Bf4 c6 Ke6 Kg4 Kd6 c7 Kd7 h4 Bxc7 Bxc7 Kxc7 hxg5 Kd7 Kf5 Ke7 Kg6 Nb2 Kh7 Kf7 g6+,
1009,d4 c5 e3 Nc6 d5 Ne5 e4 d6 Qe2 Bg4 f3 Bd7 Nc3 a6 h3 e6 f4 Ng6 f5 Ne5 Bf4 Nf6 Bxe5 dxe5 Nf3 Qc7 O-O-O Bd6 fxe6 fxe6 dxe6 Bxe6 Ng5 Bd7 Nd5 Nxd5 exd5 Bb5 Qf3 Bxf1 Rhxf1 Rf8 Qg4 Rxf1 Rxf1 Qe7 Rf7 Qxf7 Nxf7 Kxf7 Qd7+ Kg8 Qxd6 Rf8 Qe6+ Kh8 b3 Rf1+ Kb2 Rf2,
1010,e4 e5 Nf3 Nf6 Nc3 Nc6 Bb5 Bb4 a3 a6 Bxc6 Bxc3 Bxd7+ Kxd7 dxc3+ Ke8 Qxd8+ Kxd8 Nxe5 Nxe4 Nxf7+ Ke7 Nxh8 Bg4 O-O Rxh8 Re1 Bf3 gxf3 Kf6 fxe4 Ke5 f4+ Kf6 e5+ Kf5 Kg2 Rf8 Kg3 Rf6 h4 Rg6+ Kh3 Rh6 Rg1 g6 b4 Rh5 Rg5+ Ke6 Rxh5 gxh5 Be3 Kf5 c4 Ke4 Ba7 Kxf4 Bb8 Kxe5 Bxc7+ Kf5 Rf1+ Kg6 a4 Kg7 Be5+ Kg6 b5 Kh6 bxa6 Kg6 axb7 Kh6 b8=Q Kg6 Qb6#,
1011,d4 Nf6 c4 e5 dxe5 Ng4 Bf4 Nc6 Nf3 Bb4+ Nbd2 Qe7 a3 Ngxe5 Nxe5 Nxe5 e3 Bxd2+ Qxd2 d6 Be2 Bf5 Qc3 O-O c5 Ng6 cxd6 cxd6 Qd4 Nxf4 Qxf4 Qe5 Qb4 Rac8 O-O Rc2 Bf3 Qxb2 Bxb7 Rxf2 Qxb2 Rxb2 Rxf5 Rxb7 Ra5 Re8 Kf2 Re5 Ra6 Rb2+ Kf3 Rf5+ Ke4 g6 Rxd6 Rxg2 Ra6 h5 Rxa7 Rxh2 a4 Rh4+ Kd3 Rd5+ Ke2 g5 a5 g4 e4 Rh2+ Ke3 Rh3+ Kf4 Rf3#,
1012,e4 e5 Nf3 Nf6 Nc3 d5 Nxd5 Nxd5 exd5 Qxd5 d4 exd4 Qxd4 Qxd4 Nxd4 Bc5 Be3 O-O O-O-O Bxd4 Bxd4 Nc6 Bc5 Re8 Bc4 Na5 Bd5 Be6 Bxe6 Rxe6 Rd7 Rc6 Bb4 Nc4 Re1 h6 Ree7 a5 Bc3 Nd6 Rxc7 Rxc7 Rxc7 b5 Be5 Ne4 f3 Ng5 Rb7 b4 a3 bxa3 bxa3 Ne6 Rb5 a4 Bc3 Rc8 Kb2 Rc4 Rb4,
1013,e4 e5 Nf3 Nf6 Nxe5 d6 Nxf7 Kxf7 d4 Nxe4 Qh5+ Ke7 Qe2 d5 Bg5+,
1014,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 e5 Nf3 h6 Bc4 Nc6 O-O Be7 Qe2 Qc7 Bd5 O-O Rfd1 b5 a3 Bb7 h3 Rac8 Rd3 Rfd8 Rad1 Na5 Bxb7 Qxb7 Nd5 Nxd5 Rxd5 Nc4 Bc1 Nb6 R5d3 Rc4 Re3 f6 c3 d5 exd5 Rxd5 Rxd5 Qxd5 Rd3 Qb7 Qd1 Rc7 Ne1 Rd7 Rxd7 Qxd7 Qxd7 Nxd7 Nc2 Kf7 f3 Bc5+ Be3 Ke6 Kf2 Kd5 b4 Bb6 Ke2 Kc4 Kd2 Bxe3+ Nxe3+ Kb3 Nf5 g5 Nxh6 Kxa3 Nf5 Kb3 Nd6 Nb6 g4 Nd5 Ne4 Kc4 Kc2 Ne3+ Kd2 Nd5 Kc2 Ne3+ Kd2 Nd5 Kc2 Ne3+ Kd2 Nd5 Kc2 Ne3+,
1015,e4 e6 d4 d5 exd5 exd5 Bd3 Nf6 h3 Bd6 Nf3 O-O O-O h6 Re1 Nc6 a3 Re8 Nc3 a6 Ne2 Be6 Nf4 Bd7 c3 Rxe1+ Qxe1 Na5 Nxd5 Nxd5 c4 Nf4 Bxf4 Bxf4 Qxa5 Bc6 d5 Bd7 Qc3 b6 Re1 a5 Qd4 Bd6 Qe4 g6 Ne5 Be8 Qe3 Kg7 Ng4 Qg5 Qd4+ f6 g3 Bc5 Qc3 Bd7 b4 axb4 axb4 Bxg4 bxc5 Bxh3 Re7+ Kf8 d6 bxc5 Rxc7 Re8 d7 Rd8 Rc8 Ke7 Qe1+ Qe5 Qxe5+ fxe5 Rxd8 Kxd8 Bxg6 Kxd7 Bf7 Kd6 Kh2 Bg4 Kg2 Ke7 Bd5 Be6 Bxe6 Kxe6 Kf3 Kf5 g4+ Kg5 Kg3 e4 f3 exf3 Kxf3 Kf6 Kf4 Ke6 Ke4 Kd6 Kf5 Kc6 Kg6 Kd6 Kxh6 Ke5 Kg6 Kd4 g5 Kxc4 Kf6 Kd3 g6 c4 g7 c3 g8=Q c2 Qg3+ Kd2 Qf2+ Kd1 Qxc2+,
1016,e4 e6 d4 d5 exd5 exd5 Bd3 Be6 Nf3 Nf6 O-O c6 Re1 Bd6 Bf5 Qd7 Ng5 O-O Nxe6 Re8 Nxg7 Rxe1+ Qxe1 Qc7 Bh6,
1017,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6 Be3 Bg7 Nc3 Nf6 f3 O-O Qd2 e5 Nb3 b6 Be2 Qe7 O-O Rd8 Rad1 d6 Bh6 Be6 Bxg7 Kxg7 Nd5 Nxd5 exd5 Bxd5 Qxd5 Rac8 c4 Nb4 Qd2 Nxa2 Ra1,
1018,e4 c6 d4 d5 exd5 cxd5 Nf3 Nf6 Nc3 Nc6 Be2 Bg4 O-O a6 Re1 e6 Ne5 Bxe2 Rxe2 Nxe5 dxe5 Nd7 Qe1 Qh4 Re3 Rc8 Rf3 Qh5 Bf4 Bb4 Rc1 Rc4 Qe3 O-O Re1 d4 Qd3 Nb6 Re4 dxc3 Rxc4 Nxc4 Qxc4 Rd8 h3 cxb2 Qf1 Bd2 Bxd2 Rxd2 Qb1 Qxe5 Rb3 Qe2 Qf1 Rd1 Rxb2 Rxf1+ Kh2 Rxf2 Rxb7 Rxg2+,
1019,e4 c6 Nf3 d5 exd5 cxd5 Bb5+ Nc6 Bxc6+ bxc6 Ne5 Qc7 Qh5 e6 d4 Nf6 Qxf7+ Qxf7 Nxf7,
1020,e4 e6 Nf3 Nf6 d3 d5 e5 Nfd7 Bg5 f6 Bd2 Nxe5 Nxe5 fxe5 Qh5+ g6 Qxe5 Bd6 Qxh8+ Bf8 Bh6 Qe7 d4 e5 dxe5 Qh4 Qxf8+ Kd7 Qf7+ Qe7 Qxe7+ Kxe7 Bg5+ Ke6 Bf4 Nd7 Bg3 Kf7 f4 Nf8 Nc3 Be6 Bh4 Re8 O-O-O c6 Bd3 Rd8 h3 d4 Ne4 b6 Bf2 Bf5 g4 Be6 Ba6 Bd5 Rxd4 Ne6 Nd6+ Ke7 Rhd1 Nc7 Nb7 Bf3 Nxd8 Nxa6 Bh4+ Ke8 R1d2 c5 Rd7 Nb8 Rxh7 Bc6 Nxc6 Nxc6 Rd6 Kf8 Rxc6 Kg8 Rxa7,
1021,Nf3 Nc6 e4 e5 d4 d6 c3 exd4 cxd4 Bg4 Qb3 Qf6 Qxb7 Rb8 Qxc6+ Bd7 Qxc7 Rc8 Qxa7 Rxc1+ Kd2 Qf4+ Kd3 Rd1+ Nfd2 Bb5+ Kc2 Bxf1 Rxf1 Rxf1 Nxf1 Qxf2+ Nfd2 Qxg2 Qa8+ Kd7 Qxf8 Qxh2 Qxg7 Nh6 Qxh8 Ng4 a4 Qh4 Ra3 Nf6 e5 Ne4 exd6 Qh2 Qe5 Qxe5 dxe5 Nxd2 Nxd2 Ke6 a5 f6 exf6 Kxd6 f7 Ke7 Rf3 h5 f8=Q+ Ke6,
